Recipe ID;Recipe Name;Recipe Photo;Total Reviews;Author;Prep Time;Cook Time;Total Time;Ingredients;Total Ingredients;Description
7110;Quick and Easy Monkey Bread Recipe ;https://images.media-allrecipes.com/userphotos/560x315/1909168.jpg;180;MARBALET;10 m;30 m;40 m;dough,brown sugar,butter,white sugar,cinnamon,walnut,butter;7;The night or several hours before, grease and flour a 9 or 10 inch tube pan. Mix brown sugar and pudding mix together.  Mix white sugar and cinnamon together. Place frozen dinner rolls in pan a layer at a time.  Sprinkle brown sugar and pudding mix over first layer of rolls. Sprinkle sugar and cinnamon mixture over the brown sugar and  pudding mixture.  Spread half the nuts and melted butter over first layer.  Repeat with the next layer.**Place on counter over night. Do not cover. Next morning bake in a preheated 350 degrees F (175 degrees C) oven for 30 minutes. Let stand a few minutes and turn pan over onto serving platter.**
7114;Mocha Muffins Recipe ;https://images.media-allrecipes.com/userphotos/250x250/74887.jpg;7;GODGIFU;10 m;25 m;35 m;egg,egg,milk,coffee,water,vanilla,flour,milk,white sugar,baking powder,salt,cinnamon,white sugar;13;Preheat oven to 400 degrees F (205 degrees C).  Grease muffin cups.**Mix together egg, egg whites, and milk. Stir in coffee powder, water, and vanilla.**In a large bowl, mix together flour, malted milk powder, 1/2 cup sugar, baking powder, and salt.  Stir in liquid mixture. Mix together really well, until batter is thin and gooey like cake batter.  Fill muffin cups 2/3 full.  In a small bowl, stir together cinnamon and 2 tablespoons sugar. Sprinkle cinnamon sugar over muffins.**Bake in preheated oven for 20 to 25 minutes.**
7193;Herb Biscuits Recipe ;https://images.media-allrecipes.com/userphotos/560x315/451520.jpg;99;BRENDATX;10 m;12 m;22 m;buttermilk,butter,parsley,dill,onion;5;In a medium bowl, blend melted butter with the dried parsley, dill weed, and onion flakes.**Cut buttermilk biscuits into quarters. Roll each biscuit quarter in herb butter. Place in 8 inch cake pan, with pieces touching. Pour remaining butter over biscuits.**Bake in a 425 degree F (220 degrees C) oven for 12 minutes. Serve warm.**
7210;Broccoli Cornbread Recipe ;https://images.media-allrecipes.com/userphotos/250x250/39433.jpg;52;Mindy Spearman;10 m;30 m;40 m;cornmeal,flour,salt,baking powder,white sugar,egg,broccoli,cottage cheese,margarine;9;Preheat oven to 350 degrees F (175 degrees C). Grease the bottom and sides of a 9x13-inch baking dish.**In a large bowl mix together the cornmeal, flour, salt, baking powder, and sugar. Make a well in the center of the bowl.**In a separate bowl, combine the eggs, thawed broccoli, cottage cheese, and melted butter or margarine.  Pour into well of flour mixture. Stir until just combined.**Pour batter into a greased 9x13 inch baking dish.**Bake in a preheated 350 degree F (175 degrees C) oven for 30 minutes, or until golden brown.**
7221;Orange Spice Muffins Recipe ;https://images.media-allrecipes.com/images/79591.png;1;Susan Holtgrewe;10 m;20 m;30 m;brown sugar,margarine,egg,milk,orange juice,orange,baking mix,meat,white sugar,cinnamon;10;In a large bowl, beat brown sugar and softened butter until light and fluffy. Add egg, milk, orange juice, and grated orange rind. Mix well. Stir in buttermilk baking mix and mincemeat until moist.**Fill greased muffin cups 3/4. Sprinkle with cinnamon and sugar mixture.**Bake in a preheated 375 degree F(190 degrees C) oven for 18 minutes. Remove immediately from muffin pan.**
7226;Sourdough Buckwheat Pancakes Recipe ;https://images.media-allrecipes.com/userphotos/250x250/201049.jpg;28;Carina;20 m;20 m;40 m;sourdough,egg,vegetable oil,white sugar,vanilla,salt,flour,flour,baking soda,ginger;10;In a large bowl mix the starter, egg, vegetable oil, sugar and vanilla together. Stir in the salt, buckwheat flour, all-purpose flour, baking soda and ginger. Mix until just combined. Adjust consistency with more flour or some water, depending upon how thick your starter is. The batter should be pourable, but not runny.**Heat a griddle to 400 degrees F (200 degrees C). Lightly grease griddle and ladle 1/4 to 1/3 cup of batter onto hot greased griddle. Cook for about 3 to 4 minutes or until top is full of bubbles. Use a spatula to turnover and cook other side for and additional 2 minutes or so. Serve hot!**
7332;Green Cake Recipe ;https://images.media-allrecipes.com/userphotos/560x315/649764.jpg;7;Cheryl;10 m;30 m;40 m;cake,pineapple,pistachio,topping thawed;4;Make cake mix as directed on box except that in the place of water put pineapple juice.  Bake according to the cake mix directions and take right from oven and place in freezer. Cake is ready to frost when cool on the bottom to touch.**Mix crushed pineapple, instant pistachio pudding, and whipped topping together with a spoon, do not use an electric mixer. Frost cake and refrigerate for at least one hour.  You must keep this cake refrigerated until ready to serve and then also keep any leftovers refrigerated.**
7344;Banana Nut Frosting Recipe ;https://images.media-allrecipes.com/userphotos/250x250/496268.jpg;33;Rosemary Stoker;20 m;X;20 m;butter,sugar,banana,coconut,pecan,vanilla;6;'Cream together the softened butter or margarine, and confectioners'' sugar until light and fluffy. Add the banana, coconut, pecans, vanilla and mix well.  Makes enough to fill and frost a 9 inch layer cake or one 9x13 inch sheet cake.**'
7390;Butterscotch Filling Recipe ;https://images.media-allrecipes.com/images/79591.png;7;Karen;10 m;20 m;30 m;brown sugar,cornstarch,salt,water,butter;5;Mix together the brown sugar, corn starch, salt, and water in a small saucepan.  Bring mixture to a boil, and stir constantly for 1 minute.  Remove from heat, and add the butter or margarine.**Allow the mixture to cool slightly, and spread between layers.**
7443;'Rick''s Special Buttercream Frosting Recipe ';https://images.media-allrecipes.com/userphotos/560x315/701754.jpg;590;Rick Mazzuca;30 m;X;30 m;shortening,sugar,salt,vanilla,whipping cream;5;In a mixing bowl, cream shortening until fluffy.  Add sugar, and continue creaming until well blended.**Add salt, vanilla, and 6 ounces whipping cream. Blend on low speed until moistened. Add additional 2 ounces whipping cream if necessary. Beat at high speed until frosting is fluffy.**
7496;Peanut Butter Frosting Recipe ;https://images.media-allrecipes.com/userphotos/560x315/627735.jpg;441;Suzanne Stull;15 m;X;15 m;butter,peanut butter,sugar,cream;4;'In a large bowl, beat butter and peanut butter until light and fluffy. Slowly beat in 1/2 of  the confectioner''s sugar. Mix in 1/4 cup of the cream. Beat in the remaining confectioners'' sugar. If necessary, add a little more cream or milk until the frosting reaches a good spreading consistency. Makes enough to frost one 2 layer 9 inch cake or one 9x13 inch cake.**'
7506;Caramel Frosting I Recipe ;https://images.media-allrecipes.com/userphotos/250x250/452276.jpg;218;MaryKaye;10 m;5 m;15 m;butter,milk,brown sugar,sugar,vanilla;5;'In a saucepan over medium heat, melt  the butter, and mix in 3 tablespoons milk and brown sugar. Boil vigorously for 1 minute.**Remove from heat, and beat in 1/2 cup confectioners'' sugar. Cool slightly, and beat in the vanilla and remaining 1/2 cup confectioners'' sugar. Add more milk if the mixture is too thick.**'
7542;Special Buttercream Frosting Recipe ;https://images.media-allrecipes.com/userphotos/560x315/5015159.jpg;1k;Rick Mazzuca;30 m;X;30 m;shortening,sugar,salt,vanilla,cream;5;'Cream shortening until fluffy. Add confectioner''s sugar and continue creaming until well blended.**Add salt, vanilla, and whipping cream blend on low speed until moistened.  Add additional whipping cream if necessary (up to 2 ounces). Beat at high speed until frosting is fluffy.**'
7568;Popcorn Cake I Recipe ;https://images.media-allrecipes.com/userphotos/250x250/266622.jpg;1;Carol;30 m;5 m;35 m;butter,marshmallow,corn,gumdrop,chocolate,chocolate;6;Melt butter and marshmallows in a large heavy pan over low heat.  Stir often.**Put popcorn into large container.  Pour marshmallow mixture over top.  Stir to mix well.  Add peanuts and candy.  Mix together.**Pack mixture into greased 10 inch tube pan or 12 cup bundt pan.  Let cake set until cool, and turn out onto plate to serve.  Cut into wedges for all different size kids.**
7614;Lane Cake Filling Recipe ;https://images.media-allrecipes.com/images/79591.png;4;Carol;10 m;20 m;30 m;butter,white sugar,egg,water,brandy,pecan,raisin,cherry,coconut;9;Put butter or margarine and the sugar into the top of a double boiler away from the heat.  Beat together.  Add egg yolks and beat well.  Stir in water and brandy flavoring. Place over boiling water.  Cook and stir until thickened.  Add pecans, raisins, cherries and coconut.  Stir until all ingredients are well combined.  Remove from heat.  Allow filling to cool before using.**
7626;Maple Walnut Frosting Recipe ;https://images.media-allrecipes.com/userphotos/560x315/2536795.jpg;7;Carol;20 m;X;20 m;egg,brown sugar,maple syrup,water,cream,walnut;6;Place egg whites, brown sugar, maple syrup, water, and cream of tartar in the top of a double boiler over boiling water.  Beat with a mixer until frosting has a good spreading consistency, and will stand in peaks.  Remove from heat.**Fill and frost cake.  Sprinkle the top with chopped nuts.**
7627;Almond Paste Recipe ;https://images.media-allrecipes.com/userphotos/560x315/4558258.jpg;20;Carol;20 m;X;20 m;almond,sugar,egg,almond;4;'Grind almonds in a blender. Thoroughly mix in confectioners sugar. Beat egg whites slightly, then stir into the almond mixture. Add almond extract or rosewater (see Cook''s Note), using your hands to blend the heavy mixture.**Store in the refrigerator up to 1 week or in the freezer up to 3 months.**'
7737;Chocolate Cheese Frosting Recipe ;https://images.media-allrecipes.com/userphotos/560x315/959551.jpg;266;Carol;15 m;X;15 m;cream cheese,milk,sugar,butter,vanilla,cocoa powder,cinnamon;7;'In a bowl, beat together the cream cheese, 3 tablespoons milk, confectioner''s sugar, butter, vanilla, cocoa, and cinnamon to a spreadable consistency. Beat in additional milk if necessary. For a darker frosting add more cocoa or up to 4 ounces melted chocolate. Spread onto cooled cake.**'
7770;Lemon Icing Recipe ;https://images.media-allrecipes.com/userphotos/250x250/835274.jpg;262;Carol;5 m;X;5 m;butter,lemon juice,vanilla,sugar;4;'Combine the butter, lemon juice, vanilla, and confectioner''s sugar and beat until light and fluffy. Add more confectioner''s sugar, or lemon juice to adjust the consistency as needed.**'
7787;Thirty Minute Yellow Cake Recipe ;https://images.media-allrecipes.com/userphotos/560x315/3107410.jpg;110;Lori;5 m;25 m;30 m;flour,white sugar,shortening,milk,egg,vanilla;6;Preheat oven to 350 degrees F (175 degrees C).  Grease and flour a 9x13 inch pan, or two 9 inch round pans.**Cream together the shortening and sugar.  Beat in the eggs.  Add the flour, milk, and vanilla, and beat to a soft smooth batter.**Bake 20 to 30 minutes in the preheated oven, or until tester inserted in the center of the cake comes out clean.**
7797;Fondant Frosting Recipe ;https://images.media-allrecipes.com/userphotos/250x250/568073.jpg;6;Carol;20 m;10 m;30 m;white sugar,corn syrup,water,egg,vanilla,almond,salt;7;Cook sugar, corn syrup, and water in a saucepan over low heat, stirring constantly until sugar dissolves. Cover then cook for 2 to 3 minutes longer. Uncover and continue cooking to the firm ball stage 244 to 248 degrees F (118 to 120 degrees C). Remove from heat.**Beat egg whites in a large mixing bowl with the vanilla extract, almond extract, and salt until stiff but not dry.**Pour hot syrup in a slow, steady stream over beaten egg whites, beating constantly.  Continue beating until frosting stands in peaks and begins to lose its gloss, about 10 minutes.  If necessary, thin with a few drops of cream.**
7809;Birthday Party Cake Recipe ;https://images.media-allrecipes.com/images/79591.png;2;Carol;20 m;20 m;40 m;egg,white sugar,flour,salt,vanilla,boil,baking powder;7;Beat eggs and sugar together for 5 minutes.  Cover and place in the refrigerator overnight.  In the morning, beat the egg and sugar mixture for 5 minutes more.**Preheat oven to 350 degrees F (175 degrees C). Grease three 8 inch cake pans.**Sift the flour, salt, and baking powder together. Add the flour mixture alternately with the boiling hot milk to the egg and sugar mixture.  Stir in vanilla extract. Pour the batter into the prepared pans.**Bake at 350 degrees F (175 degrees C) for 15 to 20 minutes. Let cakes cool then fill and frost with Seven Minute Frosting.**
7863;Almond Filling Recipe ;https://images.media-allrecipes.com/userphotos/250x250/120693.jpg;16;Carol;20 m;5 m;25 m;white sugar,cornstarch,salt,milk,egg,amaretto;6;Combine sugar, cornstarch, and salt in saucepan.  In a separate bowl beat eggs and mix together with milk. Stir into dry mixture.  Cook over medium heat, stirring constantly, until thick and bubbling.  Cook for 2 minutes more.  Remove from heat, add almond liqueur and stir well.  Cover surface of filling with plastic wrap to prevent film from forming and chill completely before using.**
7958;Pumpkin Chocolate Chip Muffins Recipe ;https://images.media-allrecipes.com/userphotos/560x315/266600.jpg;1k;Donna;10 m;20 m;30 m;white sugar,vegetable oil,egg,pumpkin,water,flour,baking powder,baking soda,clove,cinnamon,salt,nutmeg,chocolate;13;Preheat the oven to 400 degrees F (200 degrees C). Grease and flour muffin pan or use paper liners.**Mix sugar, oil, eggs. Add pumpkin and water. In separate bowl mix together the baking flour, baking soda, baking powder, spices and salt. Add wet mixture and stir in chocolate chips.**Fill muffin cups 2/3 full with batter. Bake in preheated oven for 20 to 25 minutes.**
8002;Chocolate Ganache Icing Recipe ;https://images.media-allrecipes.com/userphotos/250x250/115142.jpg;94;Sandra Bennett;20 m;5 m;25 m;chocolate,cream,butter,brandy;4;Melt chocolate, cream, butter or margarine, and brandy together until smooth.  Allow to cool a little before spreading liberally over cake.**
8059;Popcorn Cake II Recipe ;https://images.media-allrecipes.com/userphotos/560x315/1039853.jpg;12;AUTUMN/FALL;20 m;5 m;30 m;corn,gumdrop,peanut,marshmallow,butter;5;Butter one 10 inch tube or bundt pan.**Toss the popcorn with the gumdrops and cashews.**Melt the marshmallows with the butter or margarine. Pour over the popcorn mixture and mix well. Press the mixture into the prepared pan. Butter hands before pressing firmly into pan. Chill and remove from pan.**
8236;Satiny Chocolate Glaze Recipe ;https://images.media-allrecipes.com/userphotos/560x315/2418635.jpg;1k;Ginger;10 m;8 m;18 m;chocolate,butter,corn syrup,vanilla;4;'In a double boiler over hot, but not boiling water, combine chocolate chips, butter, and corn syrup. Stir until chips are melted and mixture is smooth, then add vanilla.
8265;Funnel Cakes IV Recipe ;https://images.media-allrecipes.com/userphotos/250x250/132020.jpg;393;Tina;10 m;10 m;20 m;salt,baking powder,flour,egg,white sugar,milk,vegetable oil,sugar;8;'Mix salt, baking powder, and half the flour in a bowl. Set aside.**Cream eggs, sugar, and milk in a large bowl. Add flour mixture and beat until smooth. Continue to add remaining flour, but use only enough to achieve desired consistency. Batter will be thin enough to run through a funnel.**Heat the oil to 375 degrees F (190 degrees C) in an 8-inch skillet.**Put your finger over the bottom opening of the funnel, and fill the funnel with a generous 1/2 cup of the batter. Hold the funnel close to the surface of the oil, and release the batter into the oil while making a circular motion. Fry until golden brown. Use tongs and wide spatula to turn the cake over carefully. Fry the second side one minute. Drain on paper towels, and sprinkle with sifted confectioners'' sugar.**'
8271;Raspberry White Chocolate Mousse Recipe ;https://images.media-allrecipes.com/userphotos/560x315/3449.jpg;117;Stacey Walery;15 m;10 m;40 m;raspberry,white sugar,liqueur,whipping cream,chocolate,food coloring;6;Process berries in a blender or food processor until smooth. Strain mixture into a small bowl, and discard seeds. Add the sugar and liqueur, and stir until sugar dissolves. Makes 1 cup of sauce.**In a heavy saucepan on low heat, warm 1/4 cup of the cream and the white chocolate, stirring constantly until chocolate melts. Let mixture cool until it is lukewarm. Stir in 1 tablespoon of raspberry sauce, and the food coloring. Transfer to a large bowl.**In a medium bowl, whip remaining 1 1/2 cup cream to soft peaks. Fold into melted chocolate mixture, one-third at a time, until no streaks remain.**Layer into parfait dishes, and serve with the sauce. May also be used to fill or ice a cake.**
8307;Texas Sheet Cake IV Recipe ;https://images.media-allrecipes.com/userphotos/250x250/59629.jpg;24;MAGGIE MCGUIRE;15 m;20 m;35 m;flour,baking soda,white sugar,butter,shortening,coffee,cocoa powder,buttermilk,egg,vanilla,butter,milk,milk,vanilla,cocoa powder,sugar;16;'Preheat oven to 400 degrees F (200 degrees C). Grease and flour jelly roll pan or line with parchment paper.**In a large bowl, mix together flour, baking soda and white sugar. Set aside.**In a saucepan, heat 1/2 cup butter, shortening, coffee, and 1/4 cup cocoa until boiling. Stir frequently. Pour chocolate mixture over flour and sugar. Stir in buttermilk, eggs, baking soda and 1 teaspoon vanilla. Spread into jelly roll pan.**Bake for 20 minutes in the preheated oven, or until toothpick inserted in center of cake comes out clean.**While cake bakes, prepare frosting. Combine 1/2 cup butter or margarine, milk and 2 tablespoons cocoa in a saucepan. Heat to boiling, stirring constantly. Beat in confectioners'' sugar and vanilla until smooth. Spread warm frosting over cake as soon as it is taken from the oven. Cool.**'
8319;Brown Sugar Cream Cheese Frosting Recipe ;https://images.media-allrecipes.com/userphotos/250x250/494609.jpg;157;Anne Brothers & Rick Smetzer;30 m;X;30 m;cream cheese,butter,brown sugar,vanilla,almond,honey;6;Melt butter and allow to cool.**In a large bowl, combine cream cheese, butter, brown sugar, vanilla and almond extract. Beat with an electric mixer. When mixture starts to stiffen, stop mixer and add honey.**Continue to beat until light and fluffy. Do not over mix, or it will collapse.**Spread immediately and store cake in refrigerator.**
8465;Cool Whipped Frosting Recipe ;https://images.media-allrecipes.com/userphotos/250x250/391624.jpg;523;shirleyo;15 m;X;15 m;topping thawed,vanilla,milk,vanilla;4;In a medium bowl, combine pudding mix with milk and vanilla. Mix until smooth. Gently fold in whipped topping until no streaks remain. Spread evenly over cake.**
8486;'Caroline''s Chocolate Fudge Frosting Recipe ';https://images.media-allrecipes.com/userphotos/560x315/672307.jpg;322;Carrie Reynolds;20 m;15 m;35 m;butter,chocolate,sugar,vanilla,milk;5;'Melt chocolate and butter in the microwave, or in the top of a double boiler. In a large bowl, combine confectioners'' sugar, vanilla and 1/2 cup of the milk. Blend in the melted chocolate mixture. Add remaining milk, a little at a time, until desired consistency is achieved.**Let stand until spreadable (frosting will thicken as it cools).**'
8499;Basic Chicken Salad Recipe ;https://images.media-allrecipes.com/userphotos/560x315/1105316.jpg;502;Jackie;5 m;5 m;10 m;mayonnaise,lemon juice,black pepper,chicken,almond,celery;6;Place almonds in a frying pan. Toast over medium-high heat, shaking frequently. Watch carefully, as they burn easily.**In a medium bowl, mix together mayonnaise, lemon juice, and pepper. Toss with chicken, almonds, and celery.**
8500;'Mary''s Pecan Crusted Chicken Recipe ';https://images.media-allrecipes.com/userphotos/560x315/2621241.jpg;67;MaryLee;10 m;20 m;30 m;egg,milk,flour,poultry,cinnamon,pecan,white sugar,salt,black pepper,chicken,olive;11;'In a small bowl, mix the eggs with the milk.  Put aside.**In a medium bowl, mix together flour, seasoning, cinnamon, pecans, sugar, and salt and pepper.**Dip the chicken in the egg mix, and press in the pecan mix.**Fry in hot olive oil until golden, about 5 minutes per side.  Check to make sure pecans don''t burn.  Place on paper towel to drain.**'
8501;Buffalo Chicken Fingers Recipe ;https://images.media-allrecipes.com/userphotos/560x315/1055204.jpg;408;Bobbi Jo;20 m;20 m;40 m;chicken,flour,garlic,pepper,salt,bread,egg,water;8;Preheat oven to 400 degrees F (205 degrees C).  Coat a baking sheet with a nonstick spray.**In a bag, mix together flour, 1/2 teaspoon garlic powder, 1/2 teaspoon cayenne pepper, and 1/4 teaspoon salt.   On a plate, mix the bread crumbs with the rest of the garlic powder, cayenne pepper, and salt.**Shake the chicken pieces with the seasoned flour. Beat egg whites with 1 tablespoon water, and place egg mixture in a shallow dish or bowl. Dip seasoned chicken in egg mixture, then roll in the seasoned bread crumb mixture.  Place on prepared baking sheet.**Bake for about 8 minutes in the preheated oven.  Use tongs to turn pieces over.  Bake 8 minutes longer, or until chicken juices run clear.**
8515;Chicken Curry I Recipe ;https://images.media-allrecipes.com/userphotos/250x250/14662.jpg;171;CBASS;10 m;20 m;30 m;chicken,onion,cinnamon,bay leaf,garlic,ginger,paprika,curry,white sugar,lemon juice,pepper,tomato,salt,olive,water;15;Fry the onions in olive oil until browned. Add the cinnamon and the bay leaf. Continue stirring and add the ginger, paprika, curry powder, sugar, salt, and garlic. Continue stirring for 2 minutes.  Mixture will become much like a paste.**Add chicken pieces and tomato. Add enough water to just cover the chicken.  Simmer until chicken is done, about 20 minutes.**Just before serving, add the lemon juice and the cayenne pepper.  Simmer for 5 more minutes.**
8523;Chicken and Summer Squash Recipe ;https://images.media-allrecipes.com/userphotos/250x250/989385.jpg;88;KMSMOKEY;15 m;15 m;30 m;chicken,salt,black pepper,butter,vegetable oil,yellow squash,zucchini,tomato;8;In a large nonstick skillet, melt butter in the oil over medium high heat. Season chicken with half of the salt and half of the pepper, and add it to skillet.   Cook until lightly browned, about 2 minutes per side.  Transfer to large plate or platter, and cover to keep warm.**Pour off fat from skillet, and add squash, zucchini, and tomato.  Season with  remaining salt and pepper.  Cook and stir over medium-high heat until squash is slightly softened, about 3 minutes. Reduce heat, and return chicken to skillet.  Cover partially.  Cook until squash is soft, and chicken is white throughout but still juicy, about 5 minutes longer.**Transfer chicken to platter, and cover with foil to keep warm.  Raise heat to high.  Cook vegetable mixture, stirring often, until almost all of the liquid has evaporated, about 2 minutes. Arrange vegetables around chicken, and serve.**
8539;Chicken A La Orange Recipe ;https://images.media-allrecipes.com/userphotos/250x250/397100.jpg;46;SKEHLER;10 m;30 m;40 m;chicken,vegetable oil,orange juice,cornstarch,water,honey,ginger;7;In a skillet, brown chicken breasts in 1 tablespoon oil over medium heat.  Cook till juices run clear.**Add orange juice to the pan.  When juice just begins to bubble around the edges of the pan, add corn starch dissolved in hot water.  Mix ginger and honey together in a cup, and add to orange juice.  Cook until sauce is thick and slightly browned.  Serve.**
8565;'Becky''s Chicken Salad Recipe ';https://images.media-allrecipes.com/userphotos/560x315/2384251.jpg;686;Becky Riley;20 m;X;20 m;chicken,celery,grape,almond,parsley,salt,mayonnaise,whipping cream;8;In a medium bowl, whip cream to soft peaks.**Combine meat, celery, grapes, almonds, parsley, salt, and mayonnaise with whipped cream.  Chill.**
